WWC Standard,Average Joe standard,GovEx Book,GovEx Chapter,GovEx Verse,Pre/Post Metric,,,,,,,,,,,,,,,
General,General,How it all comes together,Emerging Insights Hub,Specific Revelations from WWC Partners,N/A,,,,,,,,,,,,,,,
General,General,How it all comes together,Conceptual Diagrams,Performance Management Ecosystem,"The city has (or references) a document explaining to every employee how performance management, analysis, and open data practices fit together in their city.",,,,,,,,,,,,,,,
General,General,How it all comes together,Case Studies,Stories about frontline employee using data in WWCs and achieving results,The city publishes (internally or externally) examples of its own employees using data to achieve results in their day to day practice.,,,,,,,,,,,,,,,
General,General,How it all comes together,Case Studies,Give me the code (NYC),The city routinely shares analysis (including methodology) with employees across divisions to facilitate shared horizontal learning.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Leadership,Finding an Executive Champion,"The city has an executive with significant authority over resources who throws his/her full weight behind data related initiatives like open data, analytics and performance.",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Leadership,Finding an Executive Champion,A representative from the mayor/city manager's team is part of the leadership,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Leadership,Finding an Executive Champion,"C10. Mayor publicizes commitment to governing with data to city departments (e.g., public remarks, internal employee emails, newsletters, website, etc.)",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Performance Management Goal Setting Template,The city has published goal statements which set clear goals and provide context for why they are important to the city's mission or to the Mayor/City Manager.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Performance Management Goal Setting Template,"Build on the values, goals and mission of the community and government",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Performance Management Goal Setting Template,C2. Has at least one strategic goal,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Performance Management Goal Setting Template,C4. Has at least one publicly stated strategic goal,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Department Mapping Template,The city has established (and published) clear linkages between its goal statements and each department's role in execution.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,"Choosing ""who"" to assign it to","Choosing ""who"" to assign it to","The city has established (and published) clear owners (programs and/or individuals) which make it clear ""who"" is responsible for progress toward each goal statement.",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,"Deciding ""how"" to move forward","Deciding ""how"" to move forward",The city has clarified (and published) specific strategies and tactics which make it clear how they plan to make progress toward each goal statement.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,"Understanding ""when"" to expect progress",Setting Targets/Goals,"The city has specific targets/goals it is aiming for within each goal statement, and those targets/goals are calculated based on analysis of past performance, current context, and forseeable future activities.",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,"Understanding ""when"" to expect progress",Setting Targets/Goals,Set appropriately ambitious timelines for implementation,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,"Understanding ""when"" to expect progress",Setting Targets/Goals,"C3. Has assigned targets, metrics, and a timeframe to measure progress toward the achievement of at least one strategic goal",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking where to start with Open Data efforts,Picking where to start with Open Data efforts,The city has published priorities for Open Data activities.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking where to start with Open Data efforts,Picking where to start with Open Data efforts,Specify methods of determining the prioritization of data release,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,STAT Forums,Performance Management (STAT) Getting Started Guide (Git,The city has a STAT program which is chaired by a senior official with ample authority.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,STAT Forums,Intro to STAT,The city has a STAT program which occurs routinely on a predictable schedule.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,STAT Forums,Intro to STAT,"M3. Has a set schedule for performance management or Stat meetings, led by the mayor or his/her senior team",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,STAT Forums,STAT Delivery Model,The city has a STAT program which consistently leverages data to inform the discussion.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,STAT Forums,History of Performance STAT Programs & Appendix,The city has a STAT program which drives specific actions for which individuals/programs are held accountable for completing.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Non STAT Forums,Non STAT Forums,The city has an interdisciplinary meeting of senior management officials which is infused with data and analysis to drive the discussion. (but it is not called STAT),,,,,,,,,,,,,,,
